No.,Use Case ID,Use Case Name,Actor,Description,Preconditions,Main Flow,Alternate Flow,Postconditions,Related Req.,Priority,Status
33,UC-33,Create New Lesson Resource,Admin,Admin creates a new learning resource for a specific lesson,Admin is authenticated and has lesson resource management permissions,"1. Navigate to Lesson Resource Management → 2. Click Create New button → 3. Select course from dropdown → 4. Select lesson from dropdown → 5. Fill resource form (title, description, type, fileUrl) → 6. Validate form data → 7. Submit creation → 8. System saves resource → 9. Show success message",Empty required fields → show validation errors | Invalid lesson selection → show error | Invalid URL format → show validation error | Resource type not selected → show error,New lesson resource created and appears in resource list,"FR-29, FR-30, FR-31, FR-32, FR-33",High,Approved
34,UC-34,View Lesson Resource List with Filtering,Admin,Admin views paginated list of lesson resources with search and filter capabilities,Admin is authenticated,"1. Navigate to Lesson Resource Management → 2. View resource list → 3. Apply filters (search, course, lesson, type, status) → 4. Browse paginated results → 5. View resource details in cards",No resources found → show empty state | Network error → show retry option | Invalid filter → show error message,Resource list displayed with current filter applied,"FR-34, FR-35",High,Approved
35,UC-35,View Lesson Resource Details,Admin,Admin views detailed information of a specific lesson resource,Admin is authenticated and resource exists,1. Navigate to Lesson Resource Management → 2. Find resource in list → 3. Click View Details button → 4. View complete resource information → 5. See resource metadata and lesson details,Resource not found → show error message | Access denied → show permission error,Resource details displayed in detail view,FR-36,Medium,Approved
36,UC-36,Update Lesson Resource Information,Admin,Admin modifies existing lesson resource information and settings,Admin is authenticated and resource exists and is not deleted,1. Navigate to Lesson Resource Management → 2. Find resource in list → 3. Click Edit button → 4. Load existing resource data → 5. Modify form fields → 6. Validate changes → 7. Submit updates → 8. System saves changes → 9. Show success message,Resource not found → show error | Validation failed → show specific errors | Update conflict → show warning | Resource deleted → deny access,Resource information updated in system,"FR-29, FR-30, FR-31, FR-32, FR-33",High,Approved
37,UC-37,Delete Lesson Resource,Admin,Admin marks a lesson resource as deleted (soft delete) without permanent removal,Admin is authenticated and resource exists and is not already deleted,1. Navigate to Lesson Resource Management → 2. Find resource in list → 3. Click Delete button → 4. System shows confirmation dialog → 5. Confirm deletion → 6. System marks resource as deleted → 7. Show success message → 8. Refresh list,Confirmation cancelled → abort operation | Delete failed → show error message,Resource marked as deleted and hidden from normal view,FR-37,Medium,Approved
38,UC-38,Restore Deleted Lesson Resource,Admin,Admin restores a previously deleted lesson resource back to active status,Admin is authenticated and resource exists and is marked as deleted,1. Navigate to Lesson Resource Management → 2. Set filter to show deleted resources → 3. Find deleted resource → 4. Click Restore button → 5. System shows confirmation → 6. Confirm restore → 7. System marks resource as active → 8. Show success message → 9. Refresh list,Resource not found → show error | Restore failed → show error message | Confirmation cancelled → abort operation,Resource restored to active status and visible in normal list,FR-37,Medium,Approved
39,UC-39,Create New Challenge with Designer,Admin,"Admin creates a complex challenge using the visual challenge designer with map, workspace, and solution configuration",Admin is authenticated and has challenge management permissions,"1. Navigate to Challenge Management → 2. Click Create New button → 3. Open Challenge Designer Page → 4. Select course and lesson → 5. Configure basic info (title, description, order, difficulty, challenge mode) → 6. Select map from map picker → 7. Design map grid with terrain and objects → 8. Place robot on map → 9. Configure challenge conditions and win rules → 10. Design solution using Blockly workspace → 11. Validate all required components → 12. Submit creation → 13. System saves challenge → 14. Show success message",Course not selected → show error | Lesson not selected → show error | Missing title/description → show validation error | No robot placed → show error | Solution not configured → show error | Challenge conditions not set → show error | Map not selected → show error,"New challenge created with complete map, conditions, and solution configuration","FR-38, FR-39, FR-40, FR-41, FR-42, FR-43, FR-44, FR-45, FR-46, FR-47, FR-48",High,Approved
40,UC-40,View Challenge List with Advanced Filtering,Admin,Admin views paginated list of challenges with comprehensive search and filter capabilities,Admin is authenticated,"1. Navigate to Challenge Management → 2. View challenge list → 3. Apply filters (search, course, lesson, status) → 4. Browse paginated results → 5. View challenge details with metadata",No challenges found → show empty state | Network error → show retry option | Invalid filter → show error message,Challenge list displayed with current filter applied,"FR-49, FR-50",High,Approved
41,UC-41,View Challenge Details and Configuration,Admin,Admin views detailed information and configuration of a specific challenge,Admin is authenticated and challenge exists,"1. Navigate to Challenge Management → 2. Find challenge in list → 3. Click View Details button → 4. View complete challenge information → 5. See map configuration, solution, and metadata",Challenge not found → show error message | Access denied → show permission error,Challenge details displayed with full configuration,FR-51,Medium,Approved
42,UC-42,Update Challenge with Designer,Admin,Admin modifies existing challenge using the visual challenge designer with complex validation,Admin is authenticated and challenge exists and is not deleted,"1. Navigate to Challenge Management → 2. Find challenge in list → 3. Click Edit button → 4. Load existing challenge data → 5. Modify components (map, workspace, solution, conditions) → 6. Validate complex configuration → 7. Show update confirmation → 8. Submit updates → 9. System saves changes → 10. Show success message",Challenge not found → show error | Validation failed → show specific errors | Update conflict → show warning | Challenge deleted → deny access | Invalid solution blocks → show error,Challenge updated with new configuration in system,"FR-38, FR-39, FR-40, FR-41, FR-42, FR-43, FR-44, FR-45, FR-46, FR-47, FR-48",High,Approved
43,UC-43,Delete Challenge,Admin,Admin marks a challenge as deleted (soft delete) without permanent removal,Admin is authenticated and challenge exists and is not already deleted,1. Navigate to Challenge Management → 2. Find challenge in list → 3. Click Delete button → 4. System shows confirmation dialog → 5. Confirm deletion → 6. System marks challenge as deleted → 7. Show success message → 8. Refresh list,Confirmation cancelled → abort operation | Delete failed → show error message,Challenge marked as deleted and hidden from normal view,FR-52,Medium,Approved
44,UC-44,Restore Deleted Challenge,Admin,Admin restores a previously deleted challenge back to active status,Admin is authenticated and challenge exists and is marked as deleted,1. Navigate to Challenge Management → 2. Set filter to show deleted challenges → 3. Find deleted challenge → 4. Click Restore button → 5. System shows confirmation → 6. Confirm restore → 7. System marks challenge as active → 8. Show success message → 9. Refresh list,Challenge not found → show error | Restore failed → show error message | Confirmation cancelled → abort operation,Challenge restored to active status and visible in normal list,FR-52,Medium,Approved
45,UC-45,Create New Map with Visual Designer,Admin,Admin creates a new map using the visual map designer with terrain tiles and grid editing,Admin is authenticated and has map management permissions,"1. Navigate to Map Management → 2. Click Create New button → 3. Open Map Designer Page → 4. Select terrain assets from workspace → 5. Design map grid with terrain tiles (grass, water, wood, roads, crossroads) → 6. Configure map information (title min 5 chars, description min 10 chars) → 7. Preview map in orthogonal or isometric view → 8. Validate map configuration → 9. Submit creation → 10. System saves map with JSON configuration → 11. Show success message",Title less than 5 chars → show validation error | Description less than 10 chars → show validation error | Invalid terrain configuration → show error,New map created with visual grid and JSON configuration,"FR-53, FR-54, FR-55, FR-56, FR-57, FR-58, FR-59",High,Approved
46,UC-46,View Map List with Advanced Filtering,Admin,Admin views paginated list of maps with comprehensive search and filter capabilities,Admin is authenticated,"1. Navigate to Map Management → 2. View map list → 3. Apply filters (search, sort by title/creation/updates/challenges count/courses count, sort direction, status) → 4. Browse paginated results → 5. View map details with statistics",No maps found → show empty state | Network error → show retry option | Invalid filter → show error message,Map list displayed with current filter applied,"FR-60, FR-61",High,Approved
47,UC-47,View Map Details and Preview,Admin,Admin views detailed information and visual preview of a specific map,Admin is authenticated and map exists,"1. Navigate to Map Management → 2. Find map in list → 3. Click View Details button → 4. View complete map information → 5. See visual map preview with terrain tiles → 6. View usage statistics (challenges count, courses count) → 7. View creation metadata",Map not found → show error message | Access denied → show permission error,Map details and visual preview displayed,FR-62,Medium,Approved
48,UC-48,Update Map with Visual Designer,Admin,Admin modifies existing map using the visual map designer with complex grid editing,Admin is authenticated and map exists and is not deleted,"1. Navigate to Map Management → 2. Find map in list → 3. Click Edit button → 4. Load existing map data into designer → 5. Modify terrain tiles and grid configuration → 6. Update map information (title, description) → 7. Preview changes in real-time → 8. Validate updated configuration → 9. Show update confirmation dialog → 10. Submit updates → 11. System saves changes → 12. Show success message",Map not found → show error | Validation failed → show specific errors | Update conflict → show warning | Map deleted → deny access | Invalid terrain configuration → show error,Map updated with new visual configuration in system,"FR-53, FR-54, FR-55, FR-56, FR-57, FR-58, FR-59",High,Approved
49,UC-49,Delete Map,Admin,Admin marks a map as deleted (soft delete) without permanent removal,Admin is authenticated and map exists and is not already deleted,1. Navigate to Map Management → 2. Find map in list → 3. Click Delete button → 4. System shows confirmation dialog → 5. Confirm deletion → 6. System marks map as deleted → 7. Show success message → 8. Refresh list,Confirmation cancelled → abort operation | Delete failed → show error message,Map marked as deleted and hidden from normal view,FR-63,Medium,Approved
50,UC-50,Restore Deleted Map,Admin,Admin restores a previously deleted map back to active status,Admin is authenticated and map exists and is marked as deleted,1. Navigate to Map Management → 2. Set filter to show deleted maps → 3. Find deleted map → 4. Click Restore button → 5. System shows confirmation → 6. Confirm restore → 7. System marks map as active → 8. Show success message → 9. Refresh list,Map not found → show error | Restore failed → show error message | Confirmation cancelled → abort operation,Map restored to active status and visible in normal list,FR-63,Medium,Approved
51,UC-51,Create New Robot Product,Admin,Admin creates a new robot product with detailed specifications and information,Admin is authenticated and has robot management permissions,"1. Navigate to Robot Management → 2. Click Create New button → 3. Fill robot form (name, model, brand, description, image URL, technical specs, requirements, age range) → 4. Validate form data → 5. Submit creation → 6. System saves robot → 7. Show success message → 8. Redirect to robot list",Empty required fields → show validation errors | Invalid image URL → show error | Invalid age range → show validation error | Age range conflict → show error,New robot product created and appears in robot list,"FR-64, FR-65, FR-66, FR-67, FR-68",High,Approved
52,UC-52,View Robot List with Search,Admin,Admin views paginated list of robot products with search functionality,Admin is authenticated,1. Navigate to Robot Management → 2. View robot list → 3. Use search by robot name → 4. Browse paginated results → 5. View robot summary information,No robots found → show empty state | Network error → show retry option | Invalid search → show error message,Robot list displayed with current search applied,"FR-69, FR-70",High,Approved
53,UC-53,View Robot Details,Admin,Admin views detailed information of a specific robot product,Admin is authenticated and robot exists,1. Navigate to Robot Management → 2. Find robot in list → 3. Click View Details button → 4. View complete robot information → 5. View robot images and components → 6. See technical specifications and requirements,Robot not found → show error message | Access denied → show permission error,Robot details displayed with full information,"FR-71, FR-72",Medium,Approved
54,UC-54,Update Robot Product Information,Admin,Admin modifies existing robot product information and specifications,Admin is authenticated and robot exists,1. Navigate to Robot Management → 2. Find robot in list → 3. Click Edit button → 4. Load existing robot data → 5. Modify form fields → 6. Validate changes → 7. Submit updates → 8. System saves changes → 9. Show success message,Robot not found → show error | Validation failed → show specific errors | Update conflict → show warning,Robot information updated in system,"FR-64, FR-65, FR-66, FR-67, FR-68",High,Approved
55,UC-55,Delete Robot Product,Admin,Admin removes a robot product from the system,Admin is authenticated and robot exists,1. Navigate to Robot Management → 2. Find robot in list → 3. Click Delete button → 4. System shows confirmation dialog → 5. Confirm deletion → 6. System removes robot → 7. Show success message → 8. Refresh list,Confirmation cancelled → abort operation | Delete failed → show error message,Robot removed from system and no longer appears in list,FR-73,Medium,Approved
56,UC-56,Manage Robot Components,Admin,Admin adds and manages components associated with a robot product,Admin is authenticated and robot exists,1. Navigate to Robot Details → 2. Go to Components tab → 3. Add new component with quantity → 4. Edit existing component quantities → 5. Remove components from robot → 6. Validate component data → 7. Save changes → 8. System updates robot component list,Invalid component selection → show error | Invalid quantity → show validation error | Component already exists → show conflict warning,Robot component list updated with new associations,"FR-74, FR-75",Medium,Approved
57,UC-57,Create New Component,Admin,Admin creates a new component with specifications and technical details,Admin is authenticated and has component management permissions,"1. Navigate to Component Management → 2. Click Create New button → 3. Fill component form (name, description, type, image URL, specifications) → 4. Validate form data → 5. Submit creation → 6. System saves component → 7. Show success message → 8. Redirect to component list",Empty required fields → show validation errors | Invalid image URL → show error | Invalid component type → show validation error,New component created and appears in component list,"FR-76, FR-77, FR-78, FR-79, FR-80",High,Approved
58,UC-58,View Component List with Search and Filter,Admin,Admin views paginated list of components with search and type filter capabilities,Admin is authenticated,"1. Navigate to Component Management → 2. View component list → 3. Use search by component name → 4. Filter by component type (Sensor, Actuator, Controller, etc.) → 5. Browse paginated results → 6. View component summary information",No components found → show empty state | Network error → show retry option | Invalid search/filter → show error message,Component list displayed with current search and filter applied,"FR-81, FR-82",High,Approved
59,UC-59,View Component Details,Admin,Admin views detailed information of a specific component,Admin is authenticated and component exists,1. Navigate to Component Management → 2. Find component in list → 3. Click View Details button → 4. View complete component information → 5. See technical specifications and descriptions → 6. View external purchase links,Component not found → show error message | Access denied → show permission error,Component details displayed with full technical information,"FR-83, FR-84",Medium,Approved
60,UC-60,Update Component Information,Admin,Admin modifies existing component information and specifications,Admin is authenticated and component exists,1. Navigate to Component Management → 2. Find component in list → 3. Click Edit button → 4. Load existing component data → 5. Modify form fields → 6. Validate changes → 7. Submit updates → 8. System saves changes → 9. Show success message,Component not found → show error | Validation failed → show specific errors | Update conflict → show warning,Component information updated in system,"FR-76, FR-77, FR-78, FR-79, FR-80",High,Approved
61,UC-61,Delete Component,Admin,Admin removes a component from the system,Admin is authenticated and component exists,1. Navigate to Component Management → 2. Find component in list → 3. Click Delete button → 4. System shows confirmation dialog → 5. Confirm deletion → 6. System removes component → 7. Show success message → 8. Refresh list,Confirmation cancelled → abort operation | Delete failed → show error message,Component removed from system and no longer appears in list,FR-85,Medium,Approved
62,UC-62,Create Batch of Activation Codes,Admin,Admin creates a batch of robot activation codes for a specific robot,Admin is authenticated and has activation code management permissions,1. Navigate to Activation Code Management → 2. Click Create Batch button → 3. Select robot from dropdown → 4. Enter batch ID → 5. Set quantity (≥1) → 6. Set expiry date (optional) → 7. Validate form data → 8. Submit creation → 9. System generates codes → 10. Show success message → 11. Redirect to code list,Invalid robot selection → show error | Empty batch ID → show validation error | Invalid quantity → show error | Invalid date → show format error,Batch of activation codes created and available for use,"FR-85, FR-86",High,Approved
63,UC-63,View Activation Code List,Admin,Admin views and manages list of all activation codes with pagination and filtering,Admin is authenticated,"1. Navigate to Activation Code Management → 2. System displays paginated table → 3. View code details (code, batch ID, robot name, status, dates, student) → 4. Use pagination controls → 5. Filter by status if needed → 6. View total count and current page",Loading error → show retry option | Empty list → show empty state message,Admin can view and monitor all activation codes,FR-87,High,Approved
64,UC-64,Copy Activation Code,Admin,Admin copies activation code to clipboard for sharing,Admin is authenticated and viewing code list,1. Click copy button next to code → 2. Code copied to clipboard → 3. Show confirmation message,Clipboard access denied → show error message,Activation code copied for easy sharing,FR-86,Medium,Approved
65,UC-65,Update Activation Code Status,Admin,"Admin updates status of activation codes (Active, Used, Expired, Revoked, Suspended)",Admin is authenticated and code exists,1. Click Edit Status button → 2. Select new status from dropdown → 3. Confirm status change → 4. System updates code status → 5. Show success message,Invalid status selection → show error | Code already used → prevent status change,Code status updated successfully,FR-89,High,Approved
66,UC-66,Export Activation Codes to CSV,Admin,Admin exports activation codes for specific batch to CSV file,Admin is authenticated,1. Click Export CSV button → 2. Enter batch ID → 3. Confirm export → 4. System generates CSV file → 5. Downloads file to local system,Invalid batch ID → show error | Export failed → show retry option,CSV file with activation codes downloaded,FR-90,Medium,Approved
67,UC-67,View Activation Code Details,Admin,Admin views detailed information of specific activation code,Admin is authenticated and code exists,"1. View code in table → 2. See all details (code, robot, batch, status, dates, student info) → 3. Check usage history if available",Code not found → show not found message,Complete activation code information displayed,FR-91,Medium,Approved
68,UC-68,Create New Certificate Template,Admin,Admin creates a new certificate template with HTML design and placeholder variables,Admin is authenticated and has certificate template management permissions,"1. Navigate to Certificate Template Management → 2. Click Create New button → 3. Select course from dropdown → 4. Fill template form (name, background image URL, HTML body with placeholders, issuer info, signature image) → 5. Configure active status → 6. Validate form data → 7. Submit creation → 8. System saves template → 9. Show success message → 10. Redirect to template list",Empty required fields → show validation errors | Invalid course selection → show error | Invalid HTML format → show error | Invalid image URLs → show format error,New certificate template created and available for use,"FR-92, FR-93",High,Approved
69,UC-69,View Certificate Template List,Admin,Admin views and manages list of all certificate templates with pagination and filtering,Admin is authenticated,"1. Navigate to Certificate Template Management → 2. System displays paginated table → 3. View template details (name, course, status, dates) → 4. Use pagination controls → 5. Filter by course and active status → 6. Search templates by name → 7. View total count and current page",Loading error → show retry option | Empty list → show empty state message,Admin can view and monitor all certificate templates,FR-94,High,Approved
